label,text,id,surrounding_text
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","March 2013, it has been hard to keep up and make sense of Ms Heard(cid:182)s evidence.   "
timexy,8/1/2016,"TIMEX3 type=""DATE"" value=""2016-08-01T00:00:00""",she was deposed in August 2016. But her account of her injuries  were inconsistent 
timexy,12/1/2015,"TIMEX3 type=""DATE"" value=""2015-12-01T00:00:00""","Depp in December 2015 [2/59B/D227-D231], Ms Heard created a wholly new, but "
timexy,5/26/2016,"TIMEX3 type=""DATE"" value=""2016-05-26T00:00:00""",26  May  2016  and  (cid:177)  where  they  have  given  evidence  (cid:177)  references  to  where  that 
timexy,7/17/2020,"TIMEX3 type=""DATE"" value=""2020-07-17T00:00:00""","relies upon his evidence as hearsay (Claimant(cid:182)s Hearsa(cid:92) Notice, 17 July 2020). "
timexy,7/18/2016,"TIMEX3 type=""DATE"" value=""2016-07-18T00:00:00""","66. In short, the contents of the deposition of Officer Saenz on 18 July 2016 [3/87/F43-"
timexy,7/28/2016,"TIMEX3 type=""DATE"" value=""2016-07-28T00:00:00""",
timexy,5/1/2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""",of May 2016. 
timexy,7/28/2016,"TIMEX3 type=""DATE"" value=""2016-07-28T00:00:00""","proceedings  and that in respect of the 28 July 2016  deposition, Mr  Harrell  was "
timexy,5/1/2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""","Sun having previously published (a) an article in May 2016, in which it had reported "
timexy,8/17/2016,"TIMEX3 type=""DATE"" value=""2016-08-17T00:00:00""",that there was no evidence warranting a report of a crime and (b) on 17 August 2016 
timexy,3/20/2020,"TIMEX3 type=""DATE"" value=""2020-03-20T00:00:00""",
timexy,3/1/2017,"TIMEX3 type=""DATE"" value=""2017-03-01T00:00:00""","2 In March 2017, HHJ Parkes QC sitting as a Deputy High Court Judge in Lisle-Mainwaring v ANL [2017] "
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",8th March 2013 
timexy,3/8/2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",there were two incidents (one on 8 March 2013 to which the text mentioning the 
timexy,8/1/2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""",8.  Fifth Incident: Bahamas detox in August 2014 (ReAmDef ¶8.a.5)  
timexy,11/1/2015,"TIMEX3 type=""DATE"" value=""2015-11-01T00:00:00""","12. Eleventh Incident: Thanksgiving, November 2015 (Re-Am Def ¶8.a.14) "
timexy,5/21/2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","14. Fourteenth Incident: May 21, 2016 at the Eastern Columbia (Re-AmDef ¶8(d)-(l)) "
timexy,5/28/2016,"TIMEX3 type=""DATE"" value=""2016-05-28T00:00:00""",28 May 2016 at 6/148E/894.257 (cid:177) F894.259 which Ms Heard states (cid:90)e(cid:85)e (cid:179)photos 
timexy,5/1/2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""",28 May 2016 at 6/148E/894.257 (cid:177) F894.259 which Ms Heard states (cid:90)e(cid:85)e (cid:179)photos 
timexy,6/21/2019,"TIMEX3 type=""DATE"" value=""2019-06-21T00:00:00""",21-Jun-19
timexy,3/12/2013,"TIMEX3 type=""DATE"" value=""2013-03-12T00:00:00""",that evening. The date of that text is 12 March 2013. 
timexy,3/12/2013,"TIMEX3 type=""DATE"" value=""2013-03-12T00:00:00""",text: that text is 12 March 2013. 
timexy,12/12/2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",12-Dec-19
timexy,12/15/2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",15-Dec-19
timexy,3/6/2020,"TIMEX3 type=""DATE"" value=""2020-03-06T00:00:00""",6-Mar-20
timexy,6/1/2020,"TIMEX3 type=""DATE"" value=""2020-06-01T00:00:00""",20th June 2020  
timexy,3/9/2013,"TIMEX3 type=""DATE"" value=""2013-03-09T00:00:00""",
timexy,6/24/2020,"TIMEX3 type=""DATE"" value=""2020-06-24T00:00:00""",On or around 24 June 2020 
timexy,3/20/2013,"TIMEX3 type=""DATE"" value=""2013-03-20T00:00:00""",
timexy,7/1/2020,"TIMEX3 type=""DATE"" value=""2020-07-01T00:00:00""",4th July 2020 
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",6.  M(cid:86) Hea(cid:85)d(cid:182)(cid:86) 1st (cid:90)(cid:76)(cid:87)(cid:81)e(cid:86)(cid:86) (cid:86)(cid:87)a(cid:87)e(cid:80)e(cid:81)(cid:87) (cid:83)(cid:88)(cid:87) (cid:87)(cid:75)e (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87) (cid:76)(cid:81) (cid:179)March 2013(cid:180): AH 1st at 52 
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",March 2013. The Claimant also disclosed an undated photograph of Ms Heard with 
timexy,7/1/2020,"TIMEX3 type=""DATE"" value=""2020-07-01T00:00:00""",6th July 2020 
timexy,3/22/2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""",22 March 2013 could possibly make Ms Heard change or recall the date of Second 
timexy,7/10/2020,"TIMEX3 type=""DATE"" value=""2020-07-10T00:00:00""",Friday 10 July 2020 (22:15)  
timexy,3/23/2013,"TIMEX3 type=""DATE"" value=""2013-03-23T00:00:00""",Script Notes showing that Mr McLagan was only on set on 23 March 2013. 
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","having  been one very  striking assault in March 2013, to it be a month of "
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","claiming  that  there  were  (cid:179)at  least  three  incidents(cid:180)  in  March  2013,  which "
timexy,3/22/2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""",
timexy,4/18/2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""",
timexy,4/18/2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""",Order  of  18  April  2016  is  at  [5.1/200/F1219-F1220].  A  helpful  report  of  those  court 
timexy,4/18/2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""","proceedings from The Guardian, 18 April 2016 is at [11/190/P173-P176]. "
timexy,10/1/2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""","4.  As  the  Court  transcript  records:  (cid:179)On  13th  of  October  2015,  Ms  Heard  provided  an "
timexy,11/1/2015,"TIMEX3 type=""DATE"" value=""2015-11-01T00:00:00""","to the offence, and on 3rd of November 2015, there was an indication that she would "
timexy,4/17/2016,"TIMEX3 type=""DATE"" value=""2016-04-17T00:00:00""","5.1. Ms Heard swore an affidavit the previous day, 17 April 2016, in which she set out "
timexy,4/18/2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""",submissions  of  the  prosecution  dated  18  April  2016  [5.1/200/F1278-F1284]  at 
timexy,10/1/2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""",
timexy,10/11/2015,"TIMEX3 type=""DATE"" value=""2015-10-11T00:00:00""",
timexy,10/1/2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""",8.1. Ms Heard had not (cid:177) at the time of the above exchanges in October 2015 about 
timexy,4/18/2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""",recorded in the transcript of the 18 April 2016 hearing) offering to do so as part of 
timexy,10/1/2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""","8.2. At  that  time,  i.e.  October  2015,  Ms  Heard  had  every  reason  to  ask  someone "
timexy,10/13/2015,"TIMEX3 type=""DATE"" value=""2015-10-13T00:00:00""",Murphy  felt  compelled  to  do  so  in  his  declaration  of  13  October  2015 
timexy,4/1/2016,"TIMEX3 type=""DATE"" value=""2016-04-01T00:00:00""",recorded in the transcript of the 18 April 2016 hearing) offering to do so as part of 
timexy,5/27/2016,"TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""",COURTHOUSE ON 27 MAY 2016  
timexy,5/27/2016,"TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""",1.  It  was  put  to Ms  Heard  that  her  attendance  at  the  Courthouse  on  27  May  2016 
timexy,6/17/2016,"TIMEX3 type=""DATE"" value=""2016-06-17T00:00:00""",hearing. The hearing was listed for 17 June 2016 [4/112/F677].  
,,,
,,,
,,,
,,,
,,,
